Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,Leeds United,37,21,8,8,56,30,26,71,W W W W W,35321,Patrick Bamford - 13,Kiko Casilla,\
2,West Brom,37,19,13,5,64,37,27,70,D W W L D,24053,Hal Robson-Kanu - 10,Sam Johnstone,\
3,Fulham,37,18,10,9,52,38,14,64,L D W W D,18204,Aleksandar Mitrovi\uc0\u263  - 23,Marek Rod\'e1k,\
4,Brentford,37,17,9,11,64,33,31,60,D D L D W,11699,Ollie Watkins - 22,David Raya,\
5,Nott'ham Forest,37,16,12,9,48,38,10,60,D D W D L,27724,Lewis Grabban - 17,Brice Samba,\
6,Preston,37,16,8,13,50,45,5,56,L W L L L,13579,Daniel Johnson - 11,Declan Rudd,\
7,Bristol City,37,15,10,12,51,53,-2,55,L L L D D,21810,Famara Diedhiou - 10,Daniel Bentley,\
8,Millwall,37,13,15,9,44,40,4,54,W L D D W,13734,Matt Smith Jed Wallace - 10,Bartosz Bia\uc0\u322 kowski,\
9,Cardiff City,37,13,15,9,52,50,2,54,D L L D W,22822,Lee Tomlin - 7,Alex Smithies,\
10,Blackburn,37,14,11,12,52,45,7,53,W D D D L,13873,Adam Armstrong - 11,Christian Walton,\
11,Swansea City,37,13,14,10,46,45,1,53,D W L D D,16151,Andr\'e9 Ayew - 12,Freddie Woodman,\
12,Derby County,37,13,12,12,49,49,0,51,D D L W W,26727,Martyn Waghorn - 12,Kelle Roos,\
13,QPR,37,14,8,15,58,62,-4,50,W D W D W,13721,Nahki Wells - 13,Joe Lumley,\
14,Reading,37,13,9,15,46,42,4,48,W L L W W,14407,George Pu\uc0\u537 ca\u537  - 9,Rafael Cabral,\
15,Sheffield Weds,37,13,9,15,46,49,-3,48,L D W L L,23733,Steven Fletcher - 13,Cameron Dawson,\
16,Birmingham City,37,12,11,14,48,57,-9,47,D D D D L,20412,Lukas Jutkiewicz - 13,Lee Camp,\
17,Stoke City,37,12,6,19,49,55,-6,42,L W D D W,22828,Sam Clucas - 10,Jack Butland,\
18,Huddersfield,37,11,9,17,45,58,-13,42,D L W W L,21748,Karlan Grant - 16,Kamil Grabara,\
19,Middlesbrough,37,9,14,14,37,47,-10,41,L L L D W,19933,Lewis Wing Ashley Fletcher - 7,Aynsley Pears,\
20,Wigan Athletic,37,10,11,16,38,50,-12,41,D W W W D,10592,Kieffer Moore Chey Dunkley - 6,David Marshall,\
21,Hull City,37,11,8,18,49,63,-14,41,D L L L L,11553,Jarrod Bowen - 16,George Long,\
22,Charlton Ath,37,10,9,18,44,54,-10,39,L W L L L,18017,Lyle Taylor - 11,Dillon Phillips,\
23,Luton Town,37,10,5,22,43,71,-28,35,W L W D D,10048,James Collins - 11,Simon Sluga,\
24,Barnsley,37,8,10,19,42,62,-20,34,W W W L L,14061,Cauley Woodrow - 14,Bradley Collins,}