Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,Atlanta,2,2,0,0,4,2,2,6,2.2,1.9,0.3,0.14,W W,69301,Ezequiel Barco Emerson Hyndman - 2,Brad Guzan,\
2,Montreal,2,1,1,0,4,3,1,4,2.9,3.1,-0.2,-0.08,W D,21006,Maximiliano Urruti - 3,Cl\'e9ment Diop,\
3,NY Red Bulls,2,1,1,0,4,3,1,4,2.4,5.5,-3.2,-1.58,W D,15703,Daniel Royer Kyle Duncan... - 1,David Jensen,\
4,Toronto FC,2,1,1,0,3,2,1,4,4.5,1.5,3,1.51,D W,26171,Ifunanyachi Achara Alejandro Pozuelo... - 1,Quentin Westberg,\
5,Columbus,2,1,1,0,2,1,1,4,2.9,2.4,0.5,0.23,W D,17473,Lucas Zelaray\'e1n Gyasi Zardes - 1,Eloy Room,\
6,D.C. United,2,1,0,1,3,3,0,3,2.1,3.7,-1.6,-0.79,L W,17058,Fr\'e9d\'e9ric Brillant Russell Canouse... - 1,Bill Hamid,\
7,Chicago,2,0,1,1,2,3,-1,1,1.7,6.8,-5.1,-2.57,L D,,Jonathan Bornstein Robert Beri\uc0\u263  - 1,Kenneth Kronholm,\
8,New England,2,0,1,1,2,3,-1,1,3.5,2.8,0.7,0.36,L D,15289,Teal Bunbury Adam Buksa - 1,Brad Knighton Matt Turner,\
9,Orlando City,2,0,1,1,1,2,-1,1,1.4,1,0.4,0.18,D L,25527,Christopher Mueller - 1,Pedro Gallese,\
10,Philadelphia,2,0,1,1,3,5,-2,1,2.5,3.6,-1,-0.52,L D,,Jakob Glesnes Sergio Santos Gomes... - 1,Andre Blake,\
11,FC Cincinnati,2,0,0,2,3,5,-2,0,3.4,4,-0.6,-0.31,L L,,Yuya Kubo J\'fcrgen Locadia... - 1,Spencer Richey,\
12,Miami,2,0,0,2,1,3,-2,0,3.1,3.2,-0.1,-0.04,L L,,Rodolfo Pizarro - 1,Luis Robles,\
13,NYCFC,2,0,0,2,0,2,-2,0,0.9,4.2,-3.3,-1.65,L L,,,Sean Johnson,\
1,Sporting KC,2,2,0,0,7,1,6,6,2.9,2.7,0.2,0.11,W W,21188,Alan Pulido Gadi Kinda - 2,Tim Melia,\
2,Minnesota,2,2,0,0,8,3,5,6,3.9,3.7,0.1,0.06,W W,,Luis Amarilla Kevin Molino... - 2,Tyler Miller,\
3,Colorado,2,2,0,0,4,2,2,6,3.1,1.6,1.5,0.74,W W,13062,Kei Kamara Drew Moor... - 1,Clint Irwin,\
4,FC Dallas,2,1,1,0,4,2,2,4,3.1,2.1,1.1,0.53,W D,16042,Zden\uc0\u283 k Ondr\'e1\'9aek - 2,Jesse Gonzalez,\
5,Los Angeles FC,2,1,1,0,4,3,1,4,4.3,3.3,1,0.49,W D,22117,Carlos Vela - 2,Kenneth Vermeer,\
6,Seattle,2,1,1,0,3,2,1,4,6.5,1.7,4.8,2.4,W D,36603,Jordan Morris - 2,Stefan Frei,\
7,Vancouver,2,1,0,1,2,3,-1,3,3.1,1.1,2,0.98,L W,22120,Jake Nerwinski Tosaint Ricketts - 1,Maxime Cr\'e9peau,\
8,Portland,2,1,0,1,2,3,-1,3,2,2.3,-0.3,-0.13,L W,25368,Diego Valeri - 2,Steve Clark,\
9,Real Salt Lake,2,0,2,0,1,1,0,2,3.5,0.9,2.6,1.3,D D,18093,Damir Kreilach - 1,Zac MacMath,\
10,LA Galaxy,2,0,1,1,1,2,-1,1,1.9,2.2,-0.4,-0.19,D L,26382,Cristian Pav\'f3n - 1,David Bingham,\
11,San Jose,2,0,1,1,4,7,-3,1,2.9,4.2,-1.3,-0.66,D L,15112,Oswaldo Alan\'eds Andr\'e9s R\'edos... - 1,Mario Daniel Vega,\
12,Houston,2,0,1,1,1,5,-4,1,1.9,3.6,-1.8,-0.9,D L,22039,Mauro Manotas - 1,Marko Mari\uc0\u263 ,\
13,Nashville,2,0,0,2,1,3,-2,0,1.4,0.6,0.8,0.39,L L,59069,Walker Zimmerman - 1,Joe Willis,}